object name,Part__Feature
total faces,40
=============================
surface_type,area,center_x,center_y,center_z,note1,note2,note3
Cylinder,12.252211349000182,-0.5999999999999996,18.189869216288546,2.502005013428088e-16,3.2499999999999996,"Vector (1.0, 0.0, 0.0)"
Plane,1.7435839227423406,-0.47398408107380763,-0.19633063472972279,14.999999999999998,0.0,0.0,1.0
Plane,34.1608917830636,10.00660171779824,-10.855129855222087,15.000000000000002,0.0,0.0,1.0
Plane,1.7435839227423398,-0.4739840810738077,-0.19633063472972415,-15.0,0.0,0.0,-1.0
Plane,47.37867965644035,-0.6,20.258883476483184,-15.0,0.0,0.0,-1.0
Plane,1.7435839227423928,20.48718751667029,-21.51392907571442,15.0,0.0,0.0,1.0
Plane,1.7435839227423342,20.48718751667028,-21.51392907571439,-15.0,0.0,0.0,-1.0
Plane,34.16089178306343,10.00660171779825,-10.855129855222058,-15.0,0.0,0.0,-1.0
Plane,1169.555303165577,20.01320343559647,-41.72061504950343,3.2612801348363973e-16,-1.0,0.0,-0.0
Plane,36.00000000000019,20.61320343559647,-61.213203435596384,3.2612801348363973e-16,0.0,-1.0,0.0
Plane,1169.5553031655766,21.21320343559647,-41.72061504950342,3.2612801348363973e-16,1.0,-0.0,0.0
Cylinder,57.72676500971236,20.968978410181382,-21.31436475339424,-9.808513303379568e-16,2.4500000000000006,"Vector (-0.0, -0.0, -1.0)"
Plane,854.0222945765868,10.430865786510168,-10.430865786510127,6.239966511463072e-16,0.7071067811865461,0.7071067811865489,-0.0
Cylinder,29.452431127404417,0.12460460480361947,0.05161291724379599,2.9685177026992716e-16,1.25,"Vector (-0.0, -0.0, -1.0)"
Plane,1151.2839190074667,0.0,20.258883476483184,4.1308429019388773e-16,1.0,-0.0,0.0
Plane,36.0,-0.6,40.0,1.457167719820518e-16,0.0,1.0,0.0
Plane,1151.2839190074667,-1.2,20.258883476483184,4.1308429019388773e-16,-1.0,0.0,-0.0
Cylinder,57.72676500971264,-0.9557749745849067,-0.39589495704987354,1.0096998988773037e-16,2.4499999999999997,"Vector (-0.0, -0.0, -1.0)"
Plane,854.0222945765867,9.582337649086309,-11.279393923933982,2.495986604585229e-16,-0.7071067811865461,-0.7071067811865489,0.0
Cylinder,29.45243112740434,19.88859883079285,-21.761872627687907,-4.240739575284685e-16,1.250000000000001,"Vector (-0.0, -0.0, -1.0)"
Plane,47.378679656440326,-0.5999999999999979,20.25888347648318,15.0,0.0,0.0,1.0
Plane,3.487167845484662,19.982244269981415,-61.21320343559637,16.219040834384952,0.0,-1.0,0.0
Plane,3.4871678454846684,19.982244269981425,-22.22802666341047,16.21904083438495,-0.0,1.0,-0.0
Cylinder,150.03254255933817,20.322921877897052,-41.72061504950343,16.55971844230057,2.4500000000000006,"Vector (0.0, 1.0, 0.0)"
Cylinder,76.5472155914991,19.558978151055953,-41.720615049503415,15.795774715459476,1.250000000000001,"Vector (0.0, 1.0, 0.0)"
Plane,15.059999999999995,12.488203435596471,-22.22802666341047,16.850000000000023,-0.0,1.0,-0.0
Plane,15.060000000000015,12.488203435596475,-61.21320343559637,16.850000000000023,-0.0,-1.0,-0.0
Plane,489.26396849093317,12.48820343559647,-41.72061504950342,17.450000000000024,3.5197287918369994e-15,-0.0,1.0
Plane,489.26396849093334,12.48820343559647,-41.72061504950342,16.250000000000025,-3.5197287918369994e-15,0.0,-1.0
Plane,46.782212126623044,6.213203435596467,-41.72061504950342,16.850000000000048,-1.0,-0.0,3.4914813388431337e-15
Plane,3.48716784548468,19.982244269981415,-22.228026663410464,-16.219040834384952,0.0,1.0,0.0
Plane,3.4871678454846853,19.982244269981425,-61.21320343559637,-16.21904083438495,-0.0,-1.0,-0.0
Cylinder,150.03254255933808,20.322921877897052,-41.720615049503415,-16.55971844230057,2.4500000000000006,"Vector (0.0, -1.0, 0.0)"
Cylinder,76.54721559149911,19.558978151055953,-41.72061504950343,-15.795774715459476,1.250000000000001,"Vector (0.0, -1.0, 0.0)"
Plane,15.060000000000015,12.488203435596475,-22.22802666341047,-16.850000000000023,-0.0,1.0,-0.0
Plane,15.059999999999995,12.488203435596471,-61.21320343559637,-16.850000000000023,-0.0,-1.0,-0.0
Plane,489.2639684909331,12.488203435596471,-41.720615049503415,-17.450000000000024,3.5197287918369994e-15,-0.0,-1.0
Plane,489.26396849093334,12.48820343559647,-41.720615049503415,-16.250000000000025,-3.5197287918369994e-15,0.0,1.0
Plane,46.782212126623044,6.213203435596467,-41.72061504950342,-16.850000000000048,-1.0,0.0,-3.4914813388431337e-15
Cylinder,12.252211349000182,-0.5999999999999996,22.327897736677823,-2.4419568931058158e-17,3.2499999999999996,"Vector (1.0, 0.0, 0.0)"
